id,name
0,Стронг Эдди
1,Крис О’Доннелл
2,Алексей Смирнов
3,Марио Брега
4,Георгий Накашидзе
5,Хелен Хант
6,Евгения Уралова
7,Валентина Владимирова
8,Тора Бёрч
9,Боб Гантон
10,Брэд Дуриф
11,Том Сайзмор
12,Элизабет Макговерн
13,Майкл Или
14,Тим Макгроу
15,Акэми Ямагути
16,Хенсон Джейсон
17,Нина Усатова
18,Мена Сувари
19,Элизабет Маргони
20,Жан-Поль Бельмондо
21,Лоррейн Бракко
22,Артем Быстров
23,Дайан Китон
24,Юрий Аверин
25,Наталья Крачковская
26,Павел Полунин
27,Кин Кентон
28,Серго Закариадзе
29,Эдвард Ферлонг
30,Джеймс Волк
31,Мэри Гиббс
32,Наталья Тенякова
33,Коринн Клери
34,Сирил Клер
35,Даршил Сафари
36,Хоакин Феникс
37,Джон Рис-Дэвис
38,Стивен Лэнг
39,Робби Колтрейн
40,Иэн Маккеллен
41,Патрик Амедори
42,Джулия Ормонд
43,Евгений Моргунов
44,Гарри Майерс
45,Мелисса Бенойст
46,Делрой Линдо
47,Ховард Октавия
48,Родни А.
49,Майло О’Ши
50,Джин Хейвуд
51,Франсуа Клюзе
52,Брюс Уиллис
53,Алан Форд
54,Джоди Бенсон
55,Милли Карлуччи
56,Робин Райт
57,Энтони Хопкинс
58,Крис Купер
59,Брок Питерс
60,Роберто Бениньи
61,Жан Рено
62,Арина Алейникова
63,Лив Тайлер
64,Билл Хейдер
65,Кирилл Полухин
66,Сигурни Уивер
67,Рё Нарита
68,Том Мюррэй
69,Ирфан Кхан
70,Рюфюс Лорелла
71,Тосиро Мифунэ
72,Вэл Килмер
73,Ирина Купченко
74,Кевин Бейкон
75,Элисон Дуди
76,Сюдов Мишель
77,Мишель Пфайффер
78,Мартин Болсам
79,Ребхорн Питер
80,Дженнифер Коннелли
81,Наташа МакЭлхоун
82,Капур Боман
83,Маколей Калкин
84,Анатолий Солоницын
85,Роберт Ричард
86,Дебби Рейнолдс
87,Джэми Дрэйвен
88,Кристофер Дэниэл
89,Эдвард Нортон
90,Брайс Даллас
91,Дженифер Льюис
92,Светлана Немоляева
93,Куинтон Аарон
94,Джек Блэк
95,Марк Хэмилл
96,Мэри Бэдам
97,Вера Альховская
98,Ирина Чериченко
99,Вивьен Ли
100,Лидия Смирнова
101,Николай Гринько
102,Эд Бегли
103,Генри Бергман
104,Дэнни Айелло
105,Джессика Честейн
106,Владимир Ивашов
107,Николай Рыбников
108,Владимир Изотов
109,Даниэль Кальтаджироне
110,Наталья Фатеева
111,Харкорт Уильямс
112,Одри Тоту
113,Никита Михайловский
114,Джон Гудман
115,Кристофер Пламмер
116,Эд Стоппард
117,Мари Бюнель
118,Говард Дафф
119,Джейсон Флеминг
120,Кэти Бейтс
121,Александр Лобанов
122,Льюис Блэк
123,Джоэл Эдгертон
124,Уильямс Тревор
125,Вуди Харрельсон
126,Бен Аффлек
127,Джек Николсон
128,Евгений Евстигнеев
129,Валентина Панина
130,Гарри Дж.
131,Венсан Кассель
132,Рассел Кроу
133,Зоя Буряк
134,Виктор Степанов
135,Лоу Рэйчел
136,Нил Патрик
137,Мастрантонио Роберт
138,Джерри Роберт
139,Мария Волонте
140,Барнс Пэдди
141,Олег Меньшиков
142,Рошан Сет
143,Джулия Робертс
144,Ян Йозеф
145,Билли Зейн
146,Карл Миллер
147,Джесси Корти
148,Сергей Бодров
149,Лоретта Дивайн
150,Джек Девенпорт
151,МакАдамс Марк
152,Роберт Дювалл
153,Цунэхико Камидзё
154,Курт Рассел
155,Мэттью МакКонахи
156,Людмила Гурченко
157,Лив Шрайбер
158,Мэттью Бродерик
159,Спенсер Джессика
160,Роб Морроу
161,Берт Ланкастер
162,Райво Трасс
163,Клэнси Браун
164,Андрей Миронов
165,Леонард Итан
166,Пол Ньюман
167,Мэл Гибсон
168,Эйса Баттерфилд
169,Пейдж О’Хара
170,Лембит Ульфсак
171,Пэдди Консидайн
172,Сухоруков Сергей
173,Джаред Лето
174,Мари-Кристин Декуар
175,Акихиро Мива
176,Тим Аллен
177,Виола Дэвис
178,Алексей Кравченко
179,Игорь Кваша
180,Элайджа Вуд
181,Роберт ДеНиро
182,Дж.К. Симмонс
183,Генри Голдинг
184,Роберт Патрик
185,Александра Мария
186,Марлен Дитрих
187,Екатерина Зинченко
188,Нед Битти
189,Брайан Хейли
190,Алан Аркин
191,Флеро Жозефин
192,Игорь Дмитриев
193,Нина Русланова
194,Тим Рот
195,Александр Лебедев
196,Винг Реймз
197,Вуд Томас
198,Антонелла Аттили
199,Бонни Беделиа
200,Иннокентий Смоктуновский
201,Джон Хёрд
202,Инна Чурикова
203,Джанет Ли
204,Кристоф Вальц
205,Карлос Эмилио
206,Энди МакДауэлл
207,Николь Кидман
208,Джеймс Каан
