id,name
0,Кирк Уайз
1,Ник Кассаветис
2,Люк Бессон
3,Франко Кастеллано
4,Юрий Быков
5,Дэвид Финчер
6,Эрик Бресс
7,Флориан Хенкель фон Доннерсмарк
8,Карлос Мартинес Лопес
9,Гари Труздейл
10,Ли Анкрич
11,Алан Паркер
12,Исао Такахата
13,Лекси Александр
14,Джонатан Демме
15,Джесси Нельсон
16,Габриэле Муччино
17,Алексей Балабанов
18,Ежи Гоффман
19,Аамир Кхан
20,Квентин Тарантино
21,Гэвин О’Коннор
22,Джеймс Кэмерон
23,Лассе Халльстрём
24,Сэм Мендес
25,Юрий Кара
26,Тейт Тейлор
27,Сергей Бондарчук
28,Рич Мур
29,Мик Джексон
30,Григорий Чухрай
31,Джордж Кьюкор
32,Илья Фрэз
33,Уилсон Ип
34,Клинт Иствуд
35,Дж. Макки Грубер
36,Барри Левинсон
37,Роман Полански
38,Джеймс Мэнголд
39,Жан-Жак Анно
40,Питер Джексон
41,Эдвард Цвик
42,Серджио Леоне
43,Франко Дзеффирелли
44,Уильям Уайлер
45,Леонид Гайдай
46,Дэмиен О’Доннелл
47,Вики Дженсон
48,Роберто Бениньи
49,Каран Джохар
50,Оливье Накаш
51,Пит Доктер
52,Жан-Пьер Жёне
53,Билли Уайлдер
54,Нил Бёргер
55,Кристоф Барратье
56,Ричард ЛаГравенес
57,Роб Минкофф
58,Катя Лунд
59,Крис Сандерс
60,Тейлор Хэкфорд
61,Ирвин Кершнер
62,Александр Серый
63,Рон Клементс
64,Роналдо Дель Кармен
65,Роберт Бентон
66,Ян Пинкава
67,Мими Ледер
68,Хэмильтон Ласки
69,Владимир Бортко
70,Андрей Тарковский
71,Николай Лебедев
72,Фрэнк Дарабонт
73,Лана Вачовски
74,Виктор Флеминг
75,Том Хупер
76,Норман Джуисон
77,Ларс фон Триер
78,Джин Келли
79,Питер Уэрнер
80,Фрэнк Капра
81,Джон МакТирнан
82,Питер Фаррелли
83,Дэвид Линч
84,Эндрю Никкол
85,Жорж Лотнер
86,Гай Ричи
87,Амол Гуптэ
88,Мишель Гондри
89,Брэд Бёрд
90,Томм Мур
91,Роджер Аллерс
92,Михаил Швейцер
93,Крис Уэдж
94,Марк Захаров
95,Тим Бёртон
96,Александр Прошкин
97,Крис Коламбус
98,Джо Джонстон
99,Гор Вербински
100,Брайан Де Пальма
101,Мартин МакДона
102,Заза Урушадзе
103,Стэнли Крамер
104,Клайд Джероними
105,Чарльз Чаплин
106,Дин ДеБлуа
107,Альфред Хичкок
108,Игорь Масленников
109,Джерри Цукер
110,Мартин Скорсезе
111,Томас Картер
112,Тони Бэнкрофт
113,Гас Ван Сент
114,Дэвид Силверман
115,Сидни Люмет
116,Эндрю Адамсон
117,Раджкумар Хирани
118,Джордж Лукас
119,Байрон Ховард
120,Пол МакГиган
121,Харольд Рэмис
122,Джордж Рой Хилл
123,Фрэнсис Форд Коппола
124,Пол Хаггис
125,Серхио Паблос
126,Фернанду Мейреллиш
127,Серджио Корбуччи
128,Джузеппе Торнаторе
129,Томас Ян
130,Дэмьен Шазелл
131,Джаред Буш
132,Искра Бабич
133,Стивен Содерберг
134,Майкл Манн
135,Боб Гейл
136,Роджер Дональдсон
137,Мартин Брест
138,Сэм Вуд
139,М. Найт Шьямалан
140,Карлос Салдана
141,Акира Куросава
142,Владимир Меньшов
143,Джордж Тиллман мл.
144,Макото Синкай
145,Роберт Земекис
146,Эдриан Молина
147,Стэнли Донен
148,Мэл Гибсон
149,Иэн Софтли
150,Пенни Маршалл
151,Даррен Аронофски
152,Михаил Калатозов
153,Хаяо Миядзаки
154,Леонид Быков
155,Юрий Чулюкин
156,Бэрри Кук
157,Джон Маскер
158,Уилфред Джексон
159,Рон Ховард
160,Милош Форман
161,Саймон Уэллс
162,Боб Питерсон
163,Роберт Маллиган
164,Роб Райнер
165,Виталий Мельников
166,Питер Уир
167,Стивен Долдри
168,Лилли Вачовски
169,Ридли Скотт
170,Владимир Роговой
171,Резо Чхеидзе
172,Марк Херман
173,Ричард Маркуэнд
174,Станислав Ростоцкий
175,Стивен Спилберг
176,Элем Климов
177,Фрэнк Маршалл
178,Тони Кэй
179,Ричард Аттенборо
180,Тодд Филлипс
181,Кристофер Нолан
182,Альфонсо Куарон
183,Эльдар Рязанов
184,Джузеппе Моччиа
185,Кевин Костнер
186,Эндрю Стэнтон
187,Мишель Хазанавичус
188,Джон Ли Хэнкок
189,Дэвид Йейтс
190,Энг Ли
191,Нэйтан Грено
192,Эрик Толедано
