id,movie_id,actor_id
0,0,945
1,0,590
2,0,9
3,0,617
4,0,163
5,1,761
6,1,358
7,1,629
8,1,294
9,1,919
10,2,761
11,2,56
12,2,733
13,2,349
14,2,343
15,3,934
16,3,239
17,3,472
18,3,523
19,3,483
20,4,51
21,4,651
22,4,610
23,4,381
24,4,191
25,4,726
26,5,951
27,5,461
28,5,826
29,5,883
30,5,512
31,6,61
32,6,336
33,6,596
34,6,104
35,6,232
36,7,158
37,7,734
38,7,230
39,7,568
40,7,771
41,8,89
42,8,378
43,8,609
44,8,235
45,8,296
46,9,727
47,9,580
48,9,612
49,9,25
50,9,809
51,10,60
52,10,700
53,10,370
54,10,477
55,10,460
56,11,347
57,11,144
58,11,870
59,11,658
60,11,228
61,11,408
62,12,642
63,12,282
64,12,208
65,12,152
66,12,768
67,13,964
68,13,335
69,13,52
70,13,566
71,13,196
72,14,727
73,14,495
74,14,2
75,14,557
76,14,43
77,15,879
78,15,215
79,15,430
80,15,295
81,15,681
82,16,132
83,16,763
84,16,80
85,16,115
86,16,417
87,17,155
88,17,280
89,17,105
90,17,361
91,17,430
92,18,180
93,18,369
94,18,780
95,18,40
96,18,291
97,19,132
98,19,36
99,19,390
100,19,639
101,19,854
102,20,819
103,20,654
104,20,288
105,20,742
106,20,363
107,21,119
108,21,706
109,21,793
110,21,752
111,21,534
112,22,796
113,22,211
114,22,367
115,22,509
116,22,283
117,23,557
118,23,164
119,23,219
120,23,465
121,23,406
122,24,951
123,24,515
124,24,127
125,24,607
126,24,281
127,25,951
128,25,761
129,25,792
130,25,281
131,25,766
132,26,276
133,26,233
134,26,109
135,26,116
136,26,494
137,27,180
138,27,40
139,27,780
140,27,369
141,27,265
142,28,939
143,28,690
144,28,682
145,28,322
146,28,895
147,29,974
148,29,262
149,29,969
150,29,428
151,29,439
152,30,787
153,30,279
154,30,371
155,30,374
156,30,670
157,31,752
158,31,356
159,31,378
160,31,53
161,31,231
162,32,180
163,32,40
164,32,369
165,32,63
166,32,780
167,33,89
168,33,29
169,33,985
170,33,536
171,33,788
172,34,905
173,34,811
174,34,977
175,34,809
176,34,110
177,35,506
178,35,372
179,35,291
180,35,949
181,35,150
182,36,951
183,36,935
184,36,239
185,36,744
186,36,76
187,37,215
188,37,871
189,37,251
190,37,785
191,37,336
192,38,127
193,38,817
194,38,893
195,38,10
196,38,289
197,39,951
198,39,555
199,39,145
200,39,120
201,39,767
202,40,488
203,40,78
204,40,451
205,40,258
206,40,102
207,41,282
208,41,1
209,41,644
210,41,999
211,41,331
212,42,181
213,42,959
214,42,201
215,42,551
216,42,996
217,43,652
218,43,955
219,43,769
220,43,560
221,43,247
222,44,452
223,44,269
224,44,645
225,44,270
226,44,656
227,45,305
228,45,44
229,45,646
230,45,749
231,45,389
232,46,579
233,46,379
234,46,209
235,46,587
236,46,745
237,47,727
238,47,624
239,47,557
240,47,811
241,47,43
242,48,366
243,48,395
244,48,630
245,48,253
246,48,786
247,49,259
248,49,263
249,49,440
250,49,524
251,49,956
252,50,538
253,50,518
254,50,672
255,50,950
256,50,924
257,51,268
258,51,581
259,51,574
260,51,321
261,51,117
262,52,516
263,52,886
264,52,867
265,52,435
266,52,73
267,53,378
268,53,590
269,53,848
270,53,889
271,53,416
272,54,527
273,54,57
274,54,928
275,54,970
276,54,411
277,55,653
278,55,915
279,55,474
280,55,567
281,55,561
282,56,927
283,56,359
284,56,873
285,56,81
286,56,763
287,57,248
288,57,535
289,57,29
290,57,184
