id,movie,year,country_id,rating_ball,overview,url_logo
0,Побег из Шоушенка ,1994,0,9.111,Бухгалтер Энди Дюфрейн обвинён в убийстве собственной жены и её любовника. Оказавшись в тюрьме под названием Шоушенк он сталкивается с жестокостью и беззаконием царящими по обе стороны решётки. Каждый кто попадает в эти стены становится их рабом до конца жизни. Но Энди обладающий живым умом и доброй душой находит подход как к заключённым так и к охранникам добиваясь их особого к себе расположения.,https://st.kp.yandex.net/images/film_iphone/iphone360_326.jpg
1,Зеленая миля ,1999,0,9.062,Пол Эджкомб — начальник блока смертников в тюрьме «Холодная гора» каждый из узников которого однажды проходит «зеленую милю» по пути к месту казни. Пол повидал много заключённых и надзирателей за время работы. Однако гигант Джон Коффи обвинённый в страшном преступлении стал одним из самых необычных обитателей блока.,https://st.kp.yandex.net/images/film_iphone/iphone360_435.jpg
2,Форрест Гамп ,1994,0,8.913,От лица главного героя Форреста Гампа слабоумного безобидного человека с благородным и открытым сердцем рассказывается история его необыкновенной жизни.Фантастическим образом превращается он в известного футболиста героя войны преуспевающего бизнесмена. Он становится миллиардером но остается таким же бесхитростным глупым и добрым. Форреста ждет постоянный успех во всем а он любит девочку с которой дружил в детстве но взаимность приходит слишком поздно.,https://st.kp.yandex.net/images/film_iphone/iphone360_448.jpg
3,Список Шиндлера ,1993,0,8.817,Фильм рассказывает реальную историю загадочного Оскара Шиндлера члена нацистской партии преуспевающего фабриканта спасшего во время Второй мировой войны почти 1200 евреев.,https://st.kp.yandex.net/images/film_iphone/iphone360_329.jpg
4,1+1 ,2011,1,8.807,Пострадав в результате несчастного случая богатый аристократ Филипп нанимает в помощники человека который менее всего подходит для этой работы — молодого жителя предместья Дрисса только что освободившегося из тюрьмы. Несмотря на то что Филипп прикован к инвалидному креслу Дриссу удается привнести в размеренную жизнь аристократа дух приключений.,https://st.kp.yandex.net/images/film_iphone/iphone360_535341.jpg
5,Начало ,2010,0,8.662,Кобб — талантливый вор лучший из лучших в опасном искусстве извлечения: он крадет ценные секреты из глубин подсознания во время сна когда человеческий разум наиболее уязвим. Редкие способности Кобба сделали его ценным игроком в привычном к предательству мире промышленного шпионажа но они же превратили его в извечного беглеца и лишили всего что он когда-либо любил. И вот у Кобба появляется шанс исправить ошибки. Его последнее дело может вернуть все назад но для этого ему нужно совершить невозможное — инициацию. Вместо идеальной кражи Кобб и его команда спецов должны будут провернуть обратное. Теперь их задача — не украсть идею а внедрить ее. Если у них получится это и станет идеальным преступлением. Но никакое планирование или мастерство не могут подготовить команду к встрече с опасным противником который кажется предугадывает каждый их ход. Врагом увидеть которого мог бы лишь Кобб.,https://st.kp.yandex.net/images/film_iphone/iphone360_447301.jpg
6,Леон ,1994,1,8.681,Профессиональный убийца Леон не знающий пощады и жалости знакомится со своей очаровательной соседкой Матильдой семью которой расстреливают полицейские замешанные в торговле наркотиками. Благодаря этому знакомству он впервые испытывает чувство любви но…,https://st.kp.yandex.net/images/film_iphone/iphone360_389.jpg
7,Король Лев ,1994,0,8.772,У величественного Короля-Льва Муфасы рождается наследник по имени Симба. Уже в детстве любознательный малыш становится жертвой интриг своего завистливого дяди Шрама мечтающего о власти.Симба познаёт горе утраты предательство и изгнание но в конце концов обретает верных друзей и находит любимую. Закалённый испытаниями он в нелёгкой борьбе отвоёвывает своё законное место в «Круге жизни» осознав что значит быть настоящим Королём.,https://st.kp.yandex.net/images/film_iphone/iphone360_2360.jpg
8,Бойцовский клуб ,1999,0,8.645,Сотрудник страховой компании страдает хронической бессонницей и отчаянно пытается вырваться из мучительно скучной жизни. Однажды в очередной командировке он встречает некоего Тайлера Дёрдена — харизматического торговца мылом с извращенной философией. Тайлер уверен что самосовершенствование — удел слабых а единственное ради чего стоит жить — саморазрушение.Проходит немного времени и вот уже новые друзья лупят друг друга почем зря на стоянке перед баром и очищающий мордобой доставляет им высшее блаженство. Приобщая других мужчин к простым радостям физической жестокости они основывают тайный Бойцовский клуб который начинает пользоваться невероятной популярностью.,https://st.kp.yandex.net/images/film_iphone/iphone360_361.jpg
9,Иван Васильевич меняет профессию ,1973,2,8.782,Инженер-изобретатель Тимофеев сконструировал машину времени которая соединила его квартиру с далеким шестнадцатым веком — точнее с палатами государя Ивана Грозного. Туда-то и попадают тезка царя пенсионер-общественник Иван Васильевич Бунша и квартирный вор Жорж Милославский.На их место в двадцатом веке «переселяется» великий государь. Поломка машины приводит ко множеству неожиданных и забавных событий…,https://st.kp.yandex.net/images/film_iphone/iphone360_42664.jpg
10,Жизнь прекрасна ,1997,3,8.624,Во время II Мировой войны в Италии в концлагерь были отправлены евреи отец и его маленький сын. Жена итальянка добровольно последовала вслед за ними. В лагере отец сказал сыну что все происходящее вокруг является очень большой игрой за приз в настоящий танк который достанется тому мальчику который сможет не попасться на глаза надзирателям.,https://st.kp.yandex.net/images/film_iphone/iphone360_381.jpg
11,Достучаться до небес ,1997,4,8.629,Судьба сводит героев картины в больнице где врачи выносят им смертный приговор. Счет времени их жизней идет на часы. Дальнейшие события в фильме разворачиваются в стремительном темпе. Украв машину с миллионом немецких марок в багажнике они сбегают из больницы.Их преследуют наемные убийцы они становятся грабителями поневоле за ними гонится полиция они попадают в бордель. Но тем не менее продолжают мчаться вперед навстречу своей судьбе.,https://st.kp.yandex.net/images/film_iphone/iphone360_32898.jpg
12,Крестный отец ,1972,0,8.732,Криминальная сага повествующая о нью-йоркской сицилийской мафиозной семье Корлеоне. Фильм охватывает период 1945-1955 годов.Глава семьи Дон Вито Корлеоне выдаёт замуж свою дочь. В это время со Второй мировой войны возвращается его любимый сын Майкл. Майкл герой войны гордость семьи не выражает желания заняться жестоким семейным бизнесом. Дон Корлеоне ведёт дела по старым правилам но наступают иные времена и появляются люди желающие изменить сложившиеся порядки. На Дона Корлеоне совершается покушение.,https://st.kp.yandex.net/images/film_iphone/iphone360_325.jpg
13,Криминальное чтиво ,1994,0,8.619,Двое бандитов Винсент Вега и Джулс Винфилд ведут философские беседы в перерывах между разборками и решением проблем с должниками криминального босса Марселласа Уоллеса.В первой истории Винсент проводит незабываемый вечер с женой Марселласа Мией. Во второй рассказывается о боксёре Бутче Кулидже купленном Уоллесом чтобы сдать бой. В третьей истории Винсент и Джулс по нелепой случайности попадают в неприятности.,https://st.kp.yandex.net/images/film_iphone/iphone360_342.jpg
14,Операция «Ы» и другие приключения Шурика ,1965,2,8.712,Фильм состоит из трех новелл объединенных фигурой главного героя Шурика попадающего в самые невероятные ситуации. В «Напарнике» Шурик сражается с хулиганом Верзилой; в «Наваждении» весьма оригинальным способом готовится к экзамену; в «Операции «Ы» предотвращает «ограбление века» на которое идет знаменитая тройка — Балбес Трус и Бывалый.,https://st.kp.yandex.net/images/film_iphone/iphone360_42782.jpg
15,Престиж ,2006,0,8.523,Роберт и Альфред — фокусники-иллюзионисты которые на рубеже XIX и XX веков соперничали друг с другом в Лондоне. С годами их дружеская конкуренция на профессиональной почве перерастает в настоящую войну.Они готовы на все чтобы выведать друг у друга секреты фантастических трюков и сорвать их исполнение. Непримиримая вражда вспыхнувшая между ними начинает угрожать жизни окружающих их людей…,https://st.kp.yandex.net/images/film_iphone/iphone360_195334.jpg
